,fight,loser,odds_l,odds_w,winner,FIGHTERS
47,Alexander Yakovlev vs Roosevelt Roberts,Alexander-Yakovlev,2.14,1.84,Roosevelt-Roberts,Alexander-Yakovlev vs. Roosevelt-Roberts
48,Jessica-Rose Clark vs Pannie Kianzad,Jessica-Rose-Clark,2.01,1.95,Pannie-Kianzad,Jessica-Rose-Clark vs. Pannie-Kianzad
49,Grigory Popov vs Davey Grant,Grigory-Popov,1.69,2.4,Davey-Grant,Davey-Grant vs. Grigory-Popov
50,Ben Askren vs Demian Maia,Ben-Askren,1.67,2.43,Demian-Maia,Ben-Askren vs. Demian-Maia
51,Michael Johnson vs Stevie Ray,Michael-Johnson,1.4,3.3,Stevie-Ray,Michael-Johnson vs. Stevie-Ray
52,Frank Camacho vs Beneil Dariush,Frank-Camacho,2.7,1.62,Beneil-Dariush,Beneil-Dariush vs. Frank-Camacho
53,Ciryl Gane vs Don'tale Mayes,Don'tale-Mayes,3.45,1.38,Ciryl-Gane,"Ciryl-Gane', ""Don'tale-Mayes""]"
54,Laureano Staropoli vs Muslim Salikhov,Laureano-Staropoli,2.45,1.65,Muslim-Salikhov,Laureano-Staropoli vs. Muslim-Salikhov
55,Ashley Yoder vs Randa Markos,Ashley-Yoder,2.2,1.87,Randa-Markos,Ashley-Yoder vs. Randa-Markos
56,Alex White vs Rafael Fiziev,Alex-White,2.65,1.57,Rafael-Fiziev,Alex-White vs. Rafael-Fiziev
57,Enrique Barzola vs Movsar Evloev,Enrique-Barzola,2.75,1.54,Movsar-Evloev,Enrique-Barzola vs. Movsar-Evloev
58,Sergey Pavlovich vs Maurice Greene,Maurice-Greene,3.1,1.48,Sergey-Pavlovich,Maurice-Greene vs. Sergey-Pavlovich
59,Alexandra Albu vs Loma Lookboonmee,Alexandra-Albu,2.25,1.77,Loma-Lookboonmee,Alexandra-Albu vs. Loma-Lookboonmee
60,Jeff Hughes vs Raphael Pessoa,Jeff-Hughes,1.44,3.15,Raphael-Pessoa,Jeff-Hughes vs. Raphael-Pessoa
61,Chris Weidman vs Dominick Reyes,Chris-Weidman,2.7,1.57,Dominick-Reyes,Chris-Weidman vs. Dominick-Reyes
62,Yair Rodriguez vs Jeremy Stephens,Jeremy-Stephens,2.2,1.8,Yair-Rodriguez,Jeremy-Stephens vs. Yair-Rodriguez
63,Yair Rodriguez vs Jeremy Stephens,Jeremy-Stephens,2.22,1.83,Yair-Rodriguez,Jeremy-Stephens vs. Yair-Rodriguez
64,Greg Hardy vs Ben Sosoli,Ben-Sosoli,4.36,1.29,Greg-Hardy,Ben-Sosoli vs. Greg-Hardy
65,Joe Lauzon vs Jonathan Pearce,Jonathan-Pearce,1.57,2.7,Joe-Lauzon,Joe-Lauzon vs. Jonathan-Pearce
66,Maycee Barber vs Gillian Robertson,Gillian-Robertson,2.45,1.74,Maycee-Barber,Gillian-Robertson vs. Maycee-Barber
67,Deron Winn vs Darren Stewart,Deron-Winn,1.91,2.1,Darren-Stewart,Darren-Stewart vs. Deron-Winn
68,Manny Bermudez vs Charles Rosa,Manny-Bermudez,1.61,2.65,Charles-Rosa,Charles-Rosa vs. Manny-Bermudez
69,Molly McCann vs Diana Belbita,Diana-Belbita,5.95,1.2,Molly-McCann,Diana-Belbita vs. Molly-McCann
70,Kyle Bochniak vs Sean Woodson,Kyle-Bochniak,2.0,2.0,Sean-Woodson,Kyle-Bochniak vs. Sean-Woodson
71,Boston Salmon vs Randy Costa,Boston-Salmon,1.69,2.42,Randy-Costa,Boston-Salmon vs. Randy-Costa
72,Court McGee vs Sean Brady,Court-McGee,2.75,1.61,Sean-Brady,Court-McGee vs. Sean-Brady
73,Kevin Holland vs Brendan Allen,Kevin-Holland,1.66,2.6,Brendan-Allen,Brendan-Allen vs. Kevin-Holland
74,Daniel Spitz vs Tanner Boser,Daniel-Spitz,2.3,1.74,Tanner-Boser,Daniel-Spitz vs. Tanner-Boser
75,Joanna Jedrzejczyk vs Michelle Waterson,Michelle-Waterson,3.7,1.34,Joanna-Jedrzejczyk,Joanna-Jedrzejczyk vs. Michelle-Waterson
76,Cub Swanson vs Kron Gracie,Kron-Gracie,1.55,2.71,Cub-Swanson,Cub-Swanson vs. Kron-Gracie
77,James Vick vs Niko Price,James-Vick,2.4,1.71,Niko-Price,James-Vick vs. Niko-Price
78,Mackenzie Dern vs Amanda Ribas,Mackenzie-Dern,1.67,2.45,Amanda-Ribas,Amanda-Ribas vs. Mackenzie-Dern
79,Luis Pena vs Matt Frevola,Luis-Pena,1.71,2.38,Matt-Frevola,Luis-Pena vs. Matt-Frevola
80,Eryk Anders vs Gerald Meerschaert,Gerald-Meerschaert,2.2,1.77,Eryk-Anders,Eryk-Anders vs. Gerald-Meerschaert
81,Ryan Spann vs Devin Clark,Devin-Clark,2.6,1.62,Ryan-Spann,Devin-Clark vs. Ryan-Spann
82,Mike Davis vs Thomas Gifford,Thomas-Gifford,3.68,1.37,Mike-Davis,Mike-Davis vs. Thomas-Gifford
83,Max Griffin vs Alex Morono,Max-Griffin,1.81,2.2,Alex-Morono,Alex-Morono vs. Max-Griffin
84,Deiveson Figueiredo vs Tim Elliott,Tim-Elliott,2.65,1.59,Deiveson-Figueiredo,Deiveson-Figueiredo vs. Tim-Elliott
85,Marlon Vera vs Andre Ewell,Andre-Ewell,2.3,1.77,Marlon-Vera,Andre-Ewell vs. Marlon-Vera
86,Hector Aldana vs Miguel Baeza,Hector-Aldana,3.2,1.44,Miguel-Baeza,Hector-Aldana vs. Miguel-Baeza
87,Marvin Vettori vs Andrew Sanchez,Andrew-Sanchez,4.19,1.28,Marvin-Vettori,Andrew-Sanchez vs. Marvin-Vettori
88,J.J. Aldrich vs Lauren Mueller,Lauren-Mueller,2.5,1.69,J.J.-Aldrich,J.J.-Aldrich vs. Lauren-Mueller
89,Robert Whittaker vs Israel Adesanya,Robert-Whittaker,2.13,1.91,Israel-Adesanya,Israel-Adesanya vs. Robert-Whittaker
90,Daniel Hooker vs Al Iaquinta,Al-Iaquinta,2.25,1.83,Daniel-Hooker,Al-Iaquinta vs. Daniel-Hooker
91,Tai Tuivasa vs Sergey Spivak,Tai-Tuivasa,1.34,3.75,Sergey-Spivak,Sergey-Spivak vs. Tai-Tuivasa
92,Luke Jumeau vs Dhiego Lima,Luke-Jumeau,2.25,1.74,Dhiego-Lima,Dhiego-Lima vs. Luke-Jumeau
93,Yorgan De Castro vs Justin Tafa,Justin-Tafa,1.94,2.0,Yorgan-De-Castro,Justin-Tafa vs. Yorgan-De-Castro
94,Jake Matthews vs Rostem Akman,Rostem-Akman,5.0,1.28,Jake-Matthews,Jake-Matthews vs. Rostem-Akman
95,Callan Potter vs Maki Pitolo,Maki-Pitolo,1.3,4.15,Callan-Potter,Callan-Potter vs. Maki-Pitolo
96,Brad Riddell vs Jamie Mullarkey,Jamie-Mullarkey,2.5,1.62,Brad-Riddell,Brad-Riddell vs. Jamie-Mullarkey
97,Megan Anderson vs Zara Fairn Dos Santos,Zara-Fairn-Dos-Santos,5.2,1.24,Megan-Anderson,Megan-Anderson vs. Zara-Fairn-Dos-Santos
98,Nadia Kassem vs Ji Yeon Kim,Nadia-Kassem,2.6,1.59,Ji-Yeon-Kim,Ji-Yeon-Kim vs. Nadia-Kassem
99,Khalid Taha vs Bruno Silva,Bruno-Silva,2.95,1.49,Khalid-Taha,Bruno-Silva vs. Khalid-Taha
100,Jack Hermansson vs Jared Cannonier,Jack-Hermansson,1.38,3.5,Jared-Cannonier,Jack-Hermansson vs. Jared-Cannonier
101,Mark O. Madsen vs Danilo Belluardo,Danilo-Belluardo,7.0,1.15,Mark-O.-Madsen,Danilo-Belluardo vs. Mark-O.-Madsen
102,Gunnar Nelson vs Gilbert Burns,Gunnar-Nelson,2.04,1.91,Gilbert-Burns,Gilbert-Burns vs. Gunnar-Nelson
103,Ion Cutelaba vs Khalil Rountree,Khalil-Rountree,1.95,2.0,Ion-Cutelaba,Ion-Cutelaba vs. Khalil-Rountree
104,Ovince St Preux vs Michal Oleksiejczuk,Michal-Oleksiejczuk,1.4,3.48,Ovince-St-Preux,Michal-Oleksiejczuk vs. Ovince-St-Preux
105,Nicolas Dalby vs Alex Oliveira,Alex-Oliveira,1.85,2.38,Nicolas-Dalby,Alex-Oliveira vs. Nicolas-Dalby
106,Alen Amedovski vs John Phillips,Alen-Amedovski,1.83,2.15,John-Phillips,Alen-Amedovski vs. John-Phillips
107,Alessio Di Chirico vs Makhmud Muradov,Alessio-Di-Chirico,2.48,1.66,Makhmud-Muradov,Alessio-Di-Chirico vs. Makhmud-Muradov
108,Ismail Naurdiev vs Siyar Bahadurzada,Siyar-Bahadurzada,3.0,1.5,Ismail-Naurdiev,Ismail-Naurdiev vs. Siyar-Bahadurzada
109,Brandon Davis vs Giga Chikadze,Brandon-Davis,1.66,2.45,Giga-Chikadze,Brandon-Davis vs. Giga-Chikadze
110,Macy Chiasson vs Lina Lansberg,Macy-Chiasson,1.25,4.7,Lina-Lansberg,Lina-Lansberg vs. Macy-Chiasson
111,Lando Vannata vs Marc Diakiese,Lando-Vannata,2.55,1.65,Marc-Diakiese,Lando-Vannata vs. Marc-Diakiese
112,Jack Shore vs Nohelin Hernandez,Nohelin-Hernandez,3.05,1.5,Jack-Shore,Jack-Shore vs. Nohelin-Hernandez
113,Carla Esparza vs Alexa Grasso,Alexa-Grasso,1.71,2.4,Carla-Esparza,Alexa-Grasso vs. Carla-Esparza
114,Vanessa Melo vs Irene Aldana,Vanessa-Melo,5.5,1.2,Irene-Aldana,Irene-Aldana vs. Vanessa-Melo
115,Martin Bravo vs Steven Peterson,Martin-Bravo,1.8,2.2,Steven-Peterson,Martin-Bravo vs. Steven-Peterson
116,Jose Quinonez vs Carlos Huachin,Carlos-Huachin,2.51,1.69,Jose-Quinonez,Carlos-Huachin vs. Jose-Quinonez
117,Marco Polo Reyes vs Kyle Nelson,Marco-Polo-Reyes,2.0,1.96,Kyle-Nelson,Kyle-Nelson vs. Marco-Polo-Reyes
118,Angela Hill vs Ariane Carnelossi,Ariane-Carnelossi,2.0,2.02,Angela-Hill,Angela-Hill vs. Ariane-Carnelossi
119,Sergio Pettis vs Tyson Nam,Tyson-Nam,3.75,1.37,Sergio-Pettis,Sergio-Pettis vs. Tyson-Nam
120,Vinicius Moreira vs Paul Craig,Vinicius-Moreira,2.03,2.0,Paul-Craig,Paul-Craig vs. Vinicius-Moreira
121,Bethe Correia vs Sijara Eubanks,Sijara-Eubanks,2.0,3.79,Bethe-Correia,Bethe-Correia vs. Sijara-Eubanks
122,Claudio Puelles vs Marcos Mariano,Marcos-Mariano,4.28,1.33,Claudio-Puelles,Claudio-Puelles vs. Marcos-Mariano
123,Donald Cerrone vs Justin Gaethje,Donald-Cerrone,2.65,1.59,Justin-Gaethje,Donald-Cerrone vs. Justin-Gaethje
124,Glover Teixeira vs Nikita Krylov,Nikita-Krylov,1.93,2.0,Glover-Teixeira,Glover-Teixeira vs. Nikita-Krylov
125,Michel Pereira vs Tristan Connelly,Michel-Pereira,1.23,5.0,Tristan-Connelly,Michel-Pereira vs. Tristan-Connelly
126,Urijah Hall vs Antonio Carlos Junior,Antonio-Carlos-Junior,1.45,3.36,Urijah-Hall,Antonio-Carlos-Junior vs. Urijah-Hall
127,Misha Cirkunov vs Jim Crute,Jim-Crute,1.91,2.0,Misha-Cirkunov,Jim-Crute vs. Misha-Cirkunov
128,Marcin Tybura vs Augusto Sakai,Marcin-Tybura,2.2,1.87,Augusto-Sakai,Augusto-Sakai vs. Marcin-Tybura
129,Cole Smith vs Miles Johns,Cole-Smith,2.25,1.77,Miles-Johns,Cole-Smith vs. Miles-Johns
130,Brad Katona vs Hunter Azure,Brad-Katona,1.87,2.2,Hunter-Azure,Brad-Katona vs. Hunter-Azure
131,Chas Skelly vs Jordan Griffin,Jordan-Griffin,1.67,2.45,Chas-Skelly,Chas-Skelly vs. Jordan-Griffin
132,Louis Smolka vs Ryan MacDonald,Ryan-MacDonald,3.0,1.48,Louis-Smolka,Louis-Smolka vs. Ryan-MacDonald
133,Austin Hubbard vs Kyle Prepolec,Kyle-Prepolec,2.29,1.77,Austin-Hubbard,Austin-Hubbard vs. Kyle-Prepolec
134,Khabib Nurmagomedov vs Dustin Poirier,Dustin-Poirier,4.55,1.27,Khabib-Nurmagomedov,Dustin-Poirier vs. Khabib-Nurmagomedov
135,Edson Barboza vs Paul Felder,Edson-Barboza,1.87,2.2,Paul-Felder,Edson-Barboza vs. Paul-Felder
136,Edson Barboza vs Paul Felder,Paul-Felder,2.2,1.87,Edson-Barboza,Edson-Barboza vs. Paul-Felder
137,Edson Barboza vs Paul Felder,Edson-Barboza,1.75,2.25,Paul-Felder,Edson-Barboza vs. Paul-Felder
138,Edson Barboza vs Paul Felder,Paul-Felder,2.25,1.75,Edson-Barboza,Edson-Barboza vs. Paul-Felder
139,Islam Makhachev vs Davi Ramos,Davi-Ramos,4.25,1.28,Islam-Makhachev,Davi-Ramos vs. Islam-Makhachev
140,Curtis Blaydes vs Shamil Abdurakhimov,Shamil-Abdurakhimov,5.4,1.22,Curtis-Blaydes,Curtis-Blaydes vs. Shamil-Abdurakhimov
141,Mairbek Taisumov vs Carlos Diego Ferreira,Mairbek-Taisumov,1.37,3.48,Carlos-Diego-Ferreira,Carlos-Diego-Ferreira vs. Mairbek-Taisumov
142,Joanne Calderwood vs Andrea Lee,Andrea-Lee,1.45,3.1,Joanne-Calderwood,Andrea-Lee vs. Joanne-Calderwood
143,Sarah Moras vs Liana Jojua,Liana-Jojua,1.68,2.45,Sarah-Moras,Liana-Jojua vs. Sarah-Moras
144,Teemu Packalen vs Ottman Azaitar,Teemu-Packalen,2.9,1.54,Ottman-Azaitar,Ottman-Azaitar vs. Teemu-Packalen
145,Belal Muhammad vs Takashi Sato,Takashi-Sato,4.35,1.27,Belal-Muhammad,Belal-Muhammad vs. Takashi-Sato
146,Nordine Taleb vs Muslim Salikhov,Nordine-Taleb,1.83,2.15,Muslim-Salikhov,Muslim-Salikhov vs. Nordine-Taleb
147,Zak Cummings vs Omari Akhmedov,Zak-Cummings,2.1,1.9,Omari-Akhmedov,Omari-Akhmedov vs. Zak-Cummings
148,Fares Ziam vs Don Madge,Fares-Ziam,2.69,1.58,Don-Madge,Don-Madge vs. Fares-Ziam
149,Jessica Andrade vs Weili Zhang,Jessica-Andrade,1.62,2.85,Weili-Zhang,Jessica-Andrade vs. Weili-Zhang
150,Elizeu Zaleski dos Santos vs Li Jingliang,Elizeu-Zaleski-dos-Santos,1.39,3.45,Li-Jingliang,Elizeu-Zaleski-dos-Santos vs. Li-Jingliang
151,Mark Delarosa vs Kai Kara-France,Mark-Delarosa,2.87,1.57,Kai-Kara-France,Kai-Kara-France vs. Mark-Delarosa
152,Kenan Song vs Derrick Krantz,Derrick-Krantz,1.95,2.0,Kenan-Song,Derrick-Krantz vs. Kenan-Song
153,Yanan Wu vs Mizuki Inoue,Yanan-Wu,0.0,0.0,Mizuki-Inoue,Mizuki-Inoue vs. Yanan-Wu
154,Anthony Hernandez vs Jun Yong Park,Jun-Yong-Park,2.35,1.71,Anthony-Hernandez,Anthony-Hernandez vs. Jun-Yong-Park
155,Andre Soukhamthath vs Su Mudaerji,Andre-Soukhamthath,1.65,2.45,Su-Mudaerji,Andre-Soukhamthath vs. Su-Mudaerji
156,Khadis Ibragimov vs Da Un Jung,Khadis-Ibragimov,1.4,3.48,Da-Un-Jung,Da-Un-Jung vs. Khadis-Ibragimov
157,Damir Ismagulov vs Thiago Moises,Thiago-Moises,2.86,1.51,Damir-Ismagulov,Damir-Ismagulov vs. Thiago-Moises
158,Danaa Batgerel vs Heili Alateng,Danaa-Batgerel,2.05,1.87,Heili-Alateng,Danaa-Batgerel vs. Heili-Alateng
159,Karol Rosa vs Lara Fritzen Procopio,Lara-Fritzen-Procopio,2.0,1.91,Karol-Rosa,Karol-Rosa vs. Lara-Fritzen-Procopio
160,Daniel Cormier vs Stipe Miocic,Daniel-Cormier,1.75,2.39,Stipe-Miocic,Daniel-Cormier vs. Stipe-Miocic
161,Daniel Cormier vs Stipe Miocic,Stipe-Miocic,2.39,1.75,Daniel-Cormier,Daniel-Cormier vs. Stipe-Miocic
162,Daniel Cormier vs Stipe Miocic,Daniel-Cormier,2.77,1.54,Stipe-Miocic,Daniel-Cormier vs. Stipe-Miocic
163,Daniel Cormier vs Stipe Miocic,Stipe-Miocic,1.54,2.77,Daniel-Cormier,Daniel-Cormier vs. Stipe-Miocic
164,Nate Diaz vs Anthony Pettis,Anthony-Pettis,1.87,2.12,Nate-Diaz,Anthony-Pettis vs. Nate-Diaz
165,Yoel Romero vs Paulo Costa,Yoel-Romero,1.73,2.45,Paulo-Costa,Paulo-Costa vs. Yoel-Romero
166,Gabriel Benitez vs Sodiq Yusuff,Gabriel-Benitez,3.45,1.39,Sodiq-Yusuff,Gabriel-Benitez vs. Sodiq-Yusuff
167,Derek Brunson vs Ian Heinisch,Ian-Heinisch,1.69,2.4,Derek-Brunson,Derek-Brunson vs. Ian-Heinisch
168,Devonte Smith vs Khama Worthy,Devonte-Smith,1.12,8.75,Khama-Worthy,Devonte-Smith vs. Khama-Worthy
169,Cory Sandhagen vs Raphael Assuncao,Raphael-Assuncao,3.25,1.44,Cory-Sandhagen,Cory-Sandhagen vs. Raphael-Assuncao
170,Christos Giagos vs Drakkar Klose,Christos-Giagos,2.7,1.59,Drakkar-Klose,Christos-Giagos vs. Drakkar-Klose
171,Casey Kenney vs Manny Bermudez,Manny-Bermudez,1.63,2.5,Casey-Kenney,Casey-Kenney vs. Manny-Bermudez
172,Hannah Cifers vs Jodie Esquibel,Jodie-Esquibel,3.55,1.36,Hannah-Cifers,Hannah-Cifers vs. Jodie-Esquibel
173,Brandon Davis vs Kyung Ho Kang,Brandon-Davis,2.75,1.55,Kyung-Ho-Kang,Brandon-Davis vs. Kyung-Ho-Kang
174,Sabina Mazo vs Shana Dobson,Shana-Dobson,2.31,1.87,Sabina-Mazo,Sabina-Mazo vs. Shana-Dobson
175,Valentina Shevchenko vs Liz Carmouche,Liz-Carmouche,9.75,1.11,Valentina-Shevchenko,Liz-Carmouche vs. Valentina-Shevchenko
176,Vicente Luque vs Mike Perry,Mike-Perry,3.05,1.45,Vicente-Luque,Mike-Perry vs. Vicente-Luque
177,Humberto Bandenay vs Luiz Garagorri,Humberto-Bandenay,2.27,1.8,Luiz-Garagorri,Humberto-Bandenay vs. Luiz-Garagorri
178,Volkan Oezdemir vs Ilir Latifi,Ilir-Latifi,2.6,1.67,Volkan-Oezdemir,Ilir-Latifi vs. Volkan-Oezdemir
179,Oskar Piechota vs Rodolfo Vieira,Oskar-Piechota,2.9,1.53,Rodolfo-Vieira,Oskar-Piechota vs. Rodolfo-Vieira
180,Enrique Barzola vs Bobby Moffett,Bobby-Moffett,2.41,1.71,Enrique-Barzola,Bobby-Moffett vs. Enrique-Barzola
181,Alexey Kunchenko vs Gilbert Burns,Alexey-Kunchenko,1.76,2.25,Gilbert-Burns,Alexey-Kunchenko vs. Gilbert-Burns
182,Raphael Pessoa vs Ciryl Gane,Raphael-Pessoa,5.05,1.23,Ciryl-Gane,Ciryl-Gane vs. Raphael-Pessoa
183,Tecia Torres vs Marina Alcalde Rodriguez,Tecia-Torres,1.67,2.49,Marina-Alcalde-Rodriguez,Marina-Alcalde-Rodriguez vs. Tecia-Torres
184,Raulian Paiva vs Rogerio Bontorin,Raulian-Paiva,1.93,2.0,Rogerio-Bontorin,Raulian-Paiva vs. Rogerio-Bontorin
185,Geraldo De Freitas Jr. vs Chris Gutierrez,Geraldo-De-Freitas-Jr.,1.69,2.46,Chris-Gutierrez,Chris-Gutierrez vs. Geraldo-De-Freitas-Jr.
186,Rodrigo Vargas vs Alex da SilvaResult: Alex da Silva won by decision Picking Vargas straight up iakamber 1u lost -1u @3.20 Dog Catcher 1u lost -1u @3.25 BMMA User 0.5u lost -0.5u @3.50 BMMA User 2u lost -2u @3.25 Bet Winner 5u lost -5u @3.79Picking Vargas as part of a parlay Mike Alexander Over 0.5 rounds @4.90 Predictions UFC straight pick @3.25 Picking da Silva straight up KnockOut 5u won 2.2u @1.44 MMAPREDICTIONGURU 5u won 2.0u @1.39 Jake Thomas 2.5u won 1.0u @1.40 QueensDaughter 6u won 2.3u @1.38 MikesMMApicks 1.5u won 0.6u @1.38 KOP KingOfParlays 2u won 0.7u @1.37 MattyNice 1u won 0.4u @1.38 CoolHandJack17 1u won 0.4u @1.36 Lucky Guy 2u won 0.7u @1.35 Txrunning 1u won 0.7u @1.71 The Storm 3u won 1.4u @1.45 GorillaPix 1u won 0.4u @1.38 Bennosuke the MF man 3u won 1.0u @1.34 Ex user 3u won 0.9u @1.30 Alexander Melchiott 1u won 0.3u @1.28 BIGS TIPS 10u won 3.6u @1.36 Grapple Boxing 1u won 0.3u @1.33Picking da Silva as part of a parlay KnockOut straight pick @1.44 DIRTYMITTENMMA straight pick @1.43 P J Jones straight pick @1.42 phillip53 straight pick @1.38 MikesMMApicks straight pick @1.38 MMA Selector straight pick @1.37 bwol MMA straight pick @1.36 JoanCombatPicks wins by TKO/KO @4.15 a wins by TKO/KO @4.15 KOP KingOfParlays straight pick @1.38 Anthony Venutolo wins inside distance @2.62 MagicM wins inside distance @2.56 GOLD BELT wins inside distance @2.56 GOLD BELT straight pick @1.36 TMM wins inside distance @2.40 Sleaze Nation straight pick @1.36 JoanCombatPicks straight pick @1.35 KOP KingOfParlays straight pick @1.38 KingPIcksMMA straight pick @1.32 MMA Prophit straight pick @1.40 Quinn straight pick @1.33 Pumba MMA straight pick @1.36 Ya Boi Picks straight pick @1.36 P J Jones straight pick @1.35 Danny Sanchez wins inside distance @2.05 WarriorBet MMA straight pick @1.39 P J Jones wins by KO/TKO or Sub @2.40 vegeta straight pick @1.36 GorillaPix Under 2.5 rounds @1.76 DarkHorse MMAus straight pick @1.36 BMMA User straight pick @1.36 Wellstack MMA straight pick @1.36 James Higgins straight pick @1.36 Alexander Melchiott straight pick @1.34 RoganMMA straight pick @1.40 The Enfuego straight pick @1.30 _ wins inside distance @2.20 Marlo Stanfield TBE straight pick @1.44 Marlo Stanfield TBE wins in round 3/Dec @2.10  Parlays with no winner selected Gugabe Picks Fight doesn't go to decision @2.30 gem779 Fight doesn't go to decision @2.30 JoanCombatPicks Fight doesn't go to decision @1.91 MagicM Fight doesn't go to decision @1.61 TMM Fight doesn't go to decision @1.61 Anthony Venutolo Fight doesn't go to decision @1.56 Gugabe Picks Fight ends by (T)KO @2.80 do-jinmono Fight doesn't go to decision @1.73 BenlikesfoodMMA Under 2.5 rounds @1.69 GorillaPix Fight doesn't go to decision @1.61 MattyNice Fight doesn't go to decision @1.61 ncow Fight doesn't go to decision @1.68 Alexander Melchiott Fight doesn't go to decision @1.61 BMMA User Fight doesn't go to decision @2.05 The Enfuego Fight doesn't go to decision @1.61,Rodrigo-Vargas,3.84,2.35,Alex-da-Silva,Alex-da-Silva vs. Rodrigo-Vargas
187,Veronica Macedo vs Polyana Viana,Polyana-Viana,2.3,1.74,Veronica-Macedo,Polyana-Viana vs. Veronica-Macedo
188,Colby Covington vs Robbie Lawler,Robbie-Lawler,3.78,1.44,Colby-Covington,Colby-Covington vs. Robbie-Lawler
189,Clay Guida vs Jim Miller,Clay-Guida,2.35,1.69,Jim-Miller,Clay-Guida vs. Jim-Miller
190,Joaquim Silva vs Nasrat Haqparast,Joaquim-Silva,4.3,1.36,Nasrat-Haqparast,Joaquim-Silva vs. Nasrat-Haqparast
191,Gerald Meerschaert vs Trevin Giles,Trevin-Giles,1.61,2.55,Gerald-Meerschaert,Gerald-Meerschaert vs. Trevin-Giles
192,Scott Holtzman vs Dong Hyun Ma,Dong-Hyun-Ma,4.5,1.27,Scott-Holtzman,Dong-Hyun-Ma vs. Scott-Holtzman
193,Darko Stosic vs Kennedy Nzechukwu,Darko-Stosic,1.91,2.1,Kennedy-Nzechukwu,Darko-Stosic vs. Kennedy-Nzechukwu
194,Mickey Gall vs Salim Touahri,Salim-Touahri,1.89,2.1,Mickey-Gall,Mickey-Gall vs. Salim-Touahri
195,Antonina Shevchenko vs Lucie Pudilova,Lucie-Pudilova,2.36,1.71,Antonina-Shevchenko,Antonina-Shevchenko vs. Lucie-Pudilova
196,Matt Schnell vs Jordan Espinosa,Jordan-Espinosa,1.77,2.45,Matt-Schnell,Jordan-Espinosa vs. Matt-Schnell
197,Mara Romero Borella vs Lauren Murphy,Mara-Romero-Borella,1.5,2.85,Lauren-Murphy,Lauren-Murphy vs. Mara-Romero-Borella
198,Claudio Silva vs Cole Williams,Cole-Williams,5.4,1.2,Claudio-Silva,Claudio-Silva vs. Cole-Williams
199,Hannah Goldy vs Miranda Granger,Hannah-Goldy,1.91,2.1,Miranda-Granger,Hannah-Goldy vs. Miranda-Granger
200,Max Holloway vs Frankie Edgar,Frankie-Edgar,3.84,1.32,Max-Holloway,Frankie-Edgar vs. Max-Holloway
201,Cristiane Justino vs Felicia Spencer,Felicia-Spencer,5.0,1.25,Cristiane-Justino,Cristiane-Justino vs. Felicia-Spencer
202,Geoff Neal vs Niko Price,Niko-Price,3.85,1.33,Geoff-Neal,Geoff-Neal vs. Niko-Price
203,Olivier Aubin-Mercier vs Arman Tsarukyan,Olivier-Aubin-Mercier,2.48,1.67,Arman-Tsarukyan,Arman-Tsarukyan vs. Olivier-Aubin-Mercier
204,Marc-Andre Barriault vs Krzysztof Jotko,Marc-Andre-Barriault,2.6,1.62,Krzysztof-Jotko,Krzysztof-Jotko vs. Marc-Andre-Barriault
205,Alexis Davis vs Viviane Araujo,Alexis-Davis,2.72,1.65,Viviane-Araujo,Alexis-Davis vs. Viviane-Araujo
206,Hakeem Dawodu vs Yoshinori Horie,Yoshinori-Horie,4.75,1.26,Hakeem-Dawodu,Hakeem-Dawodu vs. Yoshinori-Horie
207,Gavin Tucker vs Seung Woo Choi,Seung-Woo-Choi,1.91,2.25,Gavin-Tucker,Gavin-Tucker vs. Seung-Woo-Choi
208,Alexandre Pantoja vs Deiveson Figueiredo,Alexandre-Pantoja,1.8,2.17,Deiveson-Figueiredo,Alexandre-Pantoja vs. Deiveson-Figueiredo
209,Gillian Robertson vs Sarah Frota,Sarah-Frota,2.35,1.77,Gillian-Robertson,Gillian-Robertson vs. Sarah-Frota
210,Erik Koch vs Kyle Stewart,Kyle-Stewart,2.31,2.0,Erik-Koch,Erik-Koch vs. Kyle-Stewart
211,Rafael dos Anjos vs Leon Edwards,Rafael-dos-Anjos,2.04,1.93,Leon-Edwards,Leon-Edwards vs. Rafael-dos-Anjos
212,Walt Harris vs Aleksei Oleinik,Aleksei-Oleinik,2.4,1.71,Walt-Harris,Aleksei-Oleinik vs. Walt-Harris
213,Greg Hardy vs Juan Adams,Juan-Adams,1.94,2.16,Greg-Hardy,Greg-Hardy vs. Juan-Adams
214,James Vick vs Daniel Hooker,James-Vick,2.23,1.83,Daniel-Hooker,Daniel-Hooker vs. James-Vick
215,Alexander Hernandez vs Francisco Trinaldo,Francisco-Trinaldo,2.95,1.5,Alexander-Hernandez,Alexander-Hernandez vs. Francisco-Trinaldo
216,Andrei Arlovski vs Ben Rothwell,Ben-Rothwell,1.58,2.65,Andrei-Arlovski,Andrei-Arlovski vs. Ben-Rothwell
217,Alex Caceres vs Steven Peterson,Steven-Peterson,2.0,1.97,Alex-Caceres,Alex-Caceres vs. Steven-Peterson
218,Irene Aldana vs Raquel Pennington,Irene-Aldana,1.76,2.32,Raquel-Pennington,Irene-Aldana vs. Raquel-Pennington
219,Sam Alvey vs Klidson Farias de Abreu,Sam-Alvey,2.71,1.62,Klidson-Farias-de-Abreu,Klidson-Farias-de-Abreu vs. Sam-Alvey
